"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fluxo W7M",16,9,7,31.8,219,217,1.01,0.85,-0.49,"-0.1%",47.4,8.8,-652,"56%","44%","38%",26,"38%","69%","75%","61%","50%","56%","46%","49.6%","52.3%",3.9,1.31,1.54
"FURIA",18,11,7,34.6,289,210,1.38,0.8,0.44,"4.8%",52,9.1,131,"44%","50%","50%",33.8,"72%","40%","56%","49%","50%","72%","73%","50.0%","50.0%",3.44,1.2,1.75
"Leviatan",15,2,13,32.6,157,285,0.55,0.9,-1.32,"-10.1%",32.8,-19.4,-1468,"53%","33%","20%",18,"40%","26%","60%","43%",,"20%","28%","48.8%","44.4%",3.34,1.2,1.5
"LOUD",17,9,8,33.7,229,236,0.97,0.81,0.33,"1.1%",44,8.9,48,"35%","59%","59%",30.1,"40%","73%","41%","51%",,"53%","54%","50.7%","52.0%",3.45,1.02,1.53
"LØS",18,9,9,32.5,258,257,1,0.88,0.59,"4.1%",59.3,-9.3,1089,"39%","61%","72%",31.1,"53%","49%","39%","48%","50%","50%","42%","50.7%","50.2%",3.2,1.08,1.72
"paiN Gaming",16,4,12,31.1,166,263,0.63,0.86,-1.09,"-8.0%",41.2,-16.2,-1231,"56%","38%","31%",20.6,"19%","44%","50%","46%","0%","19%","25%","49.6%","47.7%",3.54,0.95,1.48
"RED Canids",16,13,3,33.5,303,180,1.68,0.9,1.23,"6.7%",73.8,7.5,1718,"69%","69%","81%",35.9,"63%","58%","56%","61%",,"75%","71%","50.4%","53.7%",3.93,1.38,1.57
"Vivo Keyd Stars",16,9,7,33.3,242,219,1.11,0.86,-0.06,"-0.3%",47.3,8.9,118,"50%","44%","44%",25.5,"73%","38%","25%","39%","100%","38%","52%","49.9%","49.1%",3.37,0.98,1.59
