"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Cloud9",18,14,4,32.2,288,178,1.62,0.8,0.86,"5.7%",54.6,23.2,482,"61%","67%","78%",34.1,"76%","57%","28%","59%","0%","83%","67%","50.6%","52.2%",3.28,0.94,1.42
"Dignitas",17,3,14,32.9,155,258,0.6,0.74,-1.28,"-7.7%",29.5,-11.9,-1473,"29%","24%","12%",16.4,"29%","26%","24%","31%","33%","12%","23%","49.2%","46.5%",3.63,1.23,1.44
"Disguised",15,4,11,31.6,154,263,0.59,0.88,-0.61,"-5.2%",42.7,-16.1,-488,"67%","40%","20%",22.9,"33%","48%","40%","42%",,"33%","33%","50.5%","46.6%",2.92,0.9,1.36
"FlyQuest",19,11,8,32.1,288,251,1.15,0.88,0.22,"1.3%",55.4,2.5,539,"47%","42%","58%",26.4,"50%","46%","58%","49%","50%","53%","62%","49.8%","51.1%",3.36,0.92,1.38
"LYON",18,12,6,34,270,212,1.27,0.79,0.7,"4.3%",56.2,10.4,580,"67%","50%","61%",34.3,"31%","70%","56%","55%","50%","67%","65%","50.3%","54.1%",3.54,0.96,1.56
"Sentinels",18,9,9,34,216,224,0.96,0.72,-0.1,"-0.8%",51.1,-1.1,-69,"39%","67%","50%",28.9,"38%","37%","67%","55%","75%","44%","48%","49.9%","48.4%",3.69,1.13,1.48
"Shopify Rebellion",15,5,10,31.7,189,231,0.82,0.88,-0.6,"-2.6%",44.7,-11.3,-437,"33%","40%","40%",25.9,"57%","62%","60%","53%",,"33%","38%","49.2%","49.1%",3.03,1,1.27
"Team Liquid",18,11,7,33.9,274,218,1.26,0.81,0.48,"3.2%",62.2,-1.1,600,"56%","67%","72%",33,"82%","54%","67%","54%","67%","67%","60%","50.4%","51.1%",3.21,1.07,1.55
