"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Fluxo W7M",9,4,5,32.7,114,128,0.89,0.82,-0.59,"-4.1%",46.9,-2.5,-868,"44%","44%","44%",26.8,"67%","85%","44%","44%","0%","44%","38%","48.9%","51.5%",3.89,1.23,1.49
"FURIA",6,6,0,34.1,101,44,2.3,0.71,1.07,"5.5%",48.1,51.9,-418,"67%","67%","50%",38.5,"83%","61%","67%","61%",,"100%","89%","50.2%","52.8%",3.66,1.1,1.75
"LOUD",9,3,6,33.2,101,120,0.84,0.74,0,"-1.2%",58.3,-24.9,800,"67%","67%","56%",25.9,"50%","74%","56%","49%",,"33%","42%","49.9%","49.8%",3.54,1.13,1.5
"LØS",10,7,3,31.8,166,109,1.52,0.87,1.24,"7.2%",58.8,11.2,1438,"70%","70%","70%",33.3,"50%","37%","40%","49%",,"60%","73%","50.7%","50.3%",3.43,1.18,1.58
"RED Canids",7,3,4,35.6,85,92,0.92,0.71,0.25,"2.9%",58.4,-15.5,1000,"29%","29%","57%",29.9,"29%","24%","43%","55%","100%","43%","54%","50.7%","50.1%",4.2,1.49,1.65
"Vivo Keyd Stars",7,1,6,32.8,56,131,0.43,0.81,-2.2,"-11.1%",23.9,-9.6,-2608,"14%","14%","14%",16,"17%","10%","57%","47%",,"14%","10%","49.7%","45.5%",3.51,0.94,1.54
